song_id,title,artist,mood,rating,youtube_id,mood_source
bw_0308,Yeh Fitoor Mera (Parwardigara),Arijit Singh,Fear,4.75,ccw-bhwtLTw,fallback
bw_0309,Ankahee,Amitabh Bhattacharya,Fear,4.71,DR0S-ocAmvo,fallback
bw_0310,Aadat - I,Atif Aslam,Fear,4.67,e5LShHAE03A,fallback
bw_0311,Maula Mere Le Le Meri Jaan,Krishna Beura,Fear,4.67,BGlZHqGDPF8,fallback
bw_0312,Kaise Mujhe Tu Mil Gayi,Benny Dayal,Fear,4.67,ndtno2tBGbo,fallback
bw_0313,Main Pareshan,Shalmali Kholgade,Fear,4.67,B6E01IatDm0,fallback
bw_0314,Le Jaye Jaane Kahan Hawayein Hawayein,Arijit Singh,Fear,4.67,cs1e0fRyI18,fallback
bw_0315,Bol Na Halke Halke,Rahat Fateh Ali Khan,Fear,4.6,fvrxBiBScIk,fallback
bw_0316,Guncha,Mohit Chauhan,Fear,4.5,DBn97hlqIOY,fallback
bw_0317,Teri Deewani,Kailash Kher,Fear,4.5,SbN6P-UQjcs,fallback
bw_0318,Chanda Re (The Moon Song),Hamsika Iyer,Fear,4.5,WfVpzRnsDZw,fallback
bw_0319,Ek Lau,Shilpa Rao,Fear,4.5,NDFaqnuKcXY,fallback
bw_0320,Ek Meetha Marz Dene Aana Tum Yun Hi,Mohit Chauhan,Fear,4.5,cj2kVORApuU,fallback
bw_0321,Tum Mile,Neeraj Shridhar,Fear,4.5,odVptmgIcD0,fallback
bw_0322,Badi Dheere Jali Raina,Rekha Bhardwaj,Fear,4.5,7azfPhiSpPk,fallback
bw_0323,Aahatein,Karthik,Fear,4.5,uPjafLALZk0,fallback
bw_0324,Be Intehaan,Atif Aslam,Fear,4.5,nD7F40pQpyc,fallback
bw_0325,Laagi Lagan,Vasuda Sharma,Fear,4.5,8thpevBS33k,fallback
bw_0326,Khuda Ke Vaaste Apna Hisaab,Jagjit Singh,Fear,4.5,Fjleqj8Spno,fallback
bw_0327,Patakha Guddi (Male Version),A.R. Rahman,Fear,4.5,8HDTS80dlr4,fallback
bw_0328,Albela Sajan Aayo Ri,Kanika Joshi,Fear,4.5,s36IMcNP8vo,fallback
bw_0329,Mainu Kaala Chashma Jachda Ey,Amar Arshi,Fear,4.5,4WRJHbL4dAk,fallback
bw_0330,Galti Se Mistake,Arijit Singh,Fear,4.5,05TA9jNnCdU,fallback
bw_0331,Ae Watan Watan Mere Aabad Rahe Tu (Male),Arijit Singh,Fear,4.5,YHmYop9Bc_Q,fallback
bw_0332,Haan Main Galat,Arijit Singh,Fear,4.5,hicN8rVmNXo,fallback
bw_0333,Ghodey Pe Sawaar (Jaane Balma Ghode Pe Kyun Sawaar Hai),Sireesha Bhagavatula,Fear,4.5,q05AbgNey6w,fallback
bw_0334,Chaudhary,Mame Khan,Fear,4.4,1gukvtH_a3I,fallback
bw_0335,Raanjhan De Yaar Bulleya,Amit Mishra,Fear,4.4,hXh35CtnSyU,fallback
bw_0336,Naina Thag Lenge,Rahat Fateh Ali Khan,Fear,4.33,Mp2CEfs-5G4,fallback
bw_0337,Sadda Haq Aithe Rakh,Mohit Chauhan,Fear,4.33,p9DQINKZxWE,fallback
bw_0338,Abhi Abhi (Duet),KK,Fear,4.33,ZNSEQXAfzXI,fallback
bw_0339,Lungi Dance,Yo Yo Honey Singh,Fear,4.33,2kWLyInyjOE,fallback
